spam,mensagem
0,Você pode me mandar o relatório hoje? :)
0,"O almoço está marcado para meio-dia, certo? :)"
1,Você foi escolhido para uma oportunidade única de investimento. :)
1,Ganhe dinheiro sem sair de casa com este método simples.
1,"Promoção imperdível! iPhone por R$ 9,99! :)"
1,Oferta válida apenas hoje! Não perca!!!!
1,Oferta válida apenas hoje! Não perca!.
0,Vamos nos encontrar amanhã no trabalho.!!!
0,Vamos nos encontrar amanhã no trabalho..
0,Reunião de equipe está marcada para as 14h de hoje
0,Preciso da sua aprovação no documento que enviei
0,Vamos almoçar juntos amanhã?
0,Parabéns pelo seu aniversário! Felicidades!
0,Obrigado pela ajuda com o projeto
0,Podemos conversar sobre aquele assunto depois?
0,Conseguiu resolver o problema do sistema?
0,A apresentação ficou excelente! Parabéns
0,Não esqueça de trazer os documentos amanhã
0,Precisamos marcar uma reunião urgente
0,O cliente aprovou a proposta que enviamos
0,Vou chegar um pouco atrasado hoje
0,Você viu o email que te mandei ontem?
0,A festa de confraternização será na sexta
0,Preciso do seu feedback sobre o relatório
0,Obrigado por comparecer à reunião
0,Vamos discutir isso pessoalmente
0,Conseguiu finalizar a tarefa de hoje?
0,O prazo final é na próxima semana
0,Estou enviando os arquivos por email
0,Pode me ligar quando tiver um tempo?
0,A reunião foi remarcada para terça-feira
0,Preciso que revise este documento urgente
0,Vamos fazer um happy hour sexta-feira?
0,O sistema está funcionando normalmente agora
0,Recebi sua mensagem e já estou resolvendo
0,Podemos adiar a reunião para amanhã?
0,Parabéns pela promoção! Você merece
0,Estou trabalhando no relatório solicitado
0,A entrega está confirmada para segunda
0,Você tem disponibilidade na quinta-feira?
1,URGENTE! Sua conta será bloqueada em 24h
1,Parabéns! Você ganhou R$ 50.000 em prêmios!!!
1,Clique AGORA e receba dinheiro grátis
1,Oferta EXCLUSIVA! Apenas para você
1,Seu WhatsApp foi premiado! Clique aqui
1,Trabalhe em casa e ganhe R$ 10.000 por mês
1,ATENÇÃO! Cadastro irregular detectado
1,Você tem uma dívida pendente. Regularize JÁ
1,Ganhe iPhone 15 GRÁTIS! Corre que é por tempo limitado
1,Empréstimo aprovado! Até R$ 100.000 disponível
1,Resgate seu prêmio de R$ 5.000 AGORA
1,Cartão de crédito APROVADO! Limite de R$ 20.000
1,PROMOÇÃO RELÂMPAGO! Notebook por R$ 99
1,Sua fatura tem desconto de 90%! Aproveite
1,Oportunidade ÚNICA de investimento! Lucre muito
1,URGENTE: Confirme seus dados bancários
1,Você foi SORTEADO! Clique para retirar prêmio
1,Fature ALTO trabalhando pela internet
1,Método SECRETO para ficar rico rápido
1,Crédito LIBERADO! Sem consulta ao SPC
1,CORRE! Promoção acaba em 1 hora
1,Ganhe R$ 1.000 por dia sem esforço
1,Seu CPF na lista de premiados! Resgate já
1,ATENÇÃO! Boleto vencido. Pague com desconto
1,Empréstimo SEM JUROS aprovado para você
1,Clique e ganhe vale-compras de R$ 500
1,OPORTUNIDADE IMPERDÍVEL! Invista e lucre 300%
1,Seu nome está SUJO? Limpe agora com desconto
1,ÚLTIMA CHANCE! Promoção termina hoje
1,Ganhe dinheiro FÁCIL respondendo pesquisas
1,Você tem uma HERANÇA não reclamada
0,Qual horário melhor para você amanhã?
0,Chegamos a um acordo com o fornecedor
0,A videoconferência começa em 10 minutos
0,Obrigado pela paciência com o atraso
0,Seu pedido foi aprovado pela diretoria
0,Vamos precisar estender o prazo do projeto
0,Ótimo trabalho na apresentação de hoje
0,Consegui resolver aquele bug do sistema
0,A reunião com o cliente foi produtiva
